IdPassageiro,Idade
786,25.0
787,18.0
788,8.0
789,1.0
790,46.0
792,16.0
795,25.0
796,39.0
797,49.0
798,31.0
799,30.0
800,30.0
801,34.0
802,31.0
803,11.0
804,0.42
805,27.0
806,31.0
807,39.0
808,18.0
809,39.0
810,33.0
811,26.0
812,39.0
813,35.0
814,6.0
815,30.5
817,23.0
818,31.0
819,43.0
820,10.0
821,52.0
822,27.0
823,38.0
824,27.0
825,2.0
828,1.0
830,62.0
831,15.0
832,0.83
834,23.0
835,18.0
836,39.0
837,21.0
839,32.0
841,20.0
842,16.0
843,30.0
844,34.5
845,17.0
846,42.0
848,35.0
849,28.0
851,4.0
852,74.0
853,9.0
854,16.0
855,44.0
856,18.0
857,45.0
858,51.0
859,24.0
861,41.0
862,21.0
863,48.0
865,24.0
866,42.0
867,27.0
868,31.0
870,4.0
871,26.0
872,47.0
873,33.0
874,47.0
875,28.0
876,15.0
877,20.0
878,19.0
880,56.0
881,25.0
882,33.0
883,22.0
884,28.0
885,25.0
886,39.0
887,27.0
888,19.0
890,26.0
891,32.0
892,34.5
893,47.0
894,62.0
895,27.0
896,22.0
897,14.0
898,30.0
899,26.0
900,18.0
901,21.0
903,46.0
904,23.0
905,63.0
906,47.0
907,24.0
908,35.0
909,21.0
910,27.0
911,45.0
912,55.0
913,9.0
915,21.0
916,48.0
917,50.0
918,22.0
919,22.5
920,41.0
922,50.0
923,24.0
924,33.0
926,30.0
927,18.5
929,21.0
930,25.0
932,39.0
934,41.0
935,30.0
936,45.0
937,25.0
938,45.0
940,60.0
941,36.0
942,24.0
943,27.0
944,20.0
945,28.0
947,10.0
948,35.0
949,25.0
951,36.0
952,17.0
953,32.0
954,18.0
955,22.0
956,13.0
958,18.0
959,47.0
960,31.0
961,60.0
962,24.0
963,21.0
964,29.0
965,28.5
966,35.0
967,32.5
969,55.0
970,30.0
971,24.0
972,6.0
973,67.0
974,49.0
978,27.0
979,18.0
981,2.0
982,22.0
984,27.0
986,25.0
987,25.0
988,76.0
989,29.0
990,20.0
991,33.0
992,43.0
993,27.0
995,26.0
996,16.0
997,28.0
998,21.0
1001,18.5
1002,41.0
1004,36.0
1005,18.5
1006,63.0
1007,18.0
1009,1.0
1010,36.0
1011,29.0
1012,12.0
1014,35.0
1015,28.0
1017,17.0
1018,22.0
1020,42.0
1021,24.0
1022,32.0
1023,53.0
1026,43.0
1027,24.0
1028,26.5
1029,26.0
1030,23.0
1031,40.0
1032,10.0
1033,33.0
1034,61.0
1035,28.0
1036,42.0
1037,31.0
1039,22.0
1041,30.0
1042,23.0
1044,60.5
1045,36.0
1046,13.0
1047,24.0
1048,29.0
1049,23.0
1050,42.0
1051,26.0
1053,7.0
1054,26.0
1056,41.0
1057,26.0
1058,48.0
1059,18.0
1061,22.0
1063,27.0
1064,23.0
1066,40.0
1067,15.0
1068,20.0
1069,54.0
1070,36.0
1071,64.0
1072,30.0
1073,37.0
1074,18.0
1076,27.0
1077,40.0
1078,21.0
1079,17.0
1081,40.0
1082,34.0
1084,11.5
1085,61.0
1086,8.0
1087,33.0
1088,6.0
1089,18.0
1090,23.0
1093,0.33
1094,47.0
1095,8.0
1096,25.0
1098,35.0
1099,24.0
1100,33.0
1101,25.0
1102,32.0
1104,17.0
1105,60.0
1106,38.0
1107,42.0
1109,57.0
1110,50.0
1112,30.0
1113,21.0
1114,22.0
1115,21.0
1116,53.0
1118,23.0
1120,40.5
1121,36.0
1122,14.0
1123,21.0
1124,21.0
1126,39.0
1127,20.0
1128,64.0
1129,20.0
1130,18.0
1131,48.0
1132,55.0
1133,45.0
1134,45.0
1137,41.0
1138,22.0
1139,42.0
1140,29.0
1142,0.92
1143,20.0
1144,27.0
1145,24.0
1146,32.5
1149,28.0
1150,19.0
1151,21.0
1152,36.5
1153,21.0
1154,29.0
1155,1.0
1156,30.0
1161,17.0
1162,46.0
1164,26.0
1167,20.0
1168,28.0
1169,40.0
1170,30.0
1171,22.0
1172,23.0
1173,0.75
1175,9.0
1176,2.0
1177,36.0
1179,24.0
1183,30.0
1185,53.0
1186,36.0
1187,26.0
1188,1.0
1190,30.0
1191,29.0
1192,32.0
1194,43.0
1195,24.0
1197,64.0
1198,30.0
1199,0.83
1200,55.0
1201,45.0
1202,18.0
1203,22.0
1205,37.0
1206,55.0
1207,17.0
1208,57.0
1209,19.0
1210,27.0
1211,22.0
1212,26.0
1213,25.0
1214,26.0
1215,33.0
1216,39.0
1217,23.0
1218,12.0
1219,46.0
1220,29.0
1221,21.0
1222,48.0
1223,39.0
1225,19.0
1226,27.0
1227,30.0
1228,32.0
1229,39.0
1230,25.0
1232,18.0
1233,32.0
1235,58.0
1237,16.0
1238,26.0
1239,38.0
1240,24.0
1241,31.0
1242,45.0
1243,25.0
1244,18.0
1245,49.0
1246,0.17
1247,50.0
1248,59.0
1251,30.0
1252,14.5
1253,24.0
1254,31.0
1255,27.0
1256,25.0
1259,22.0
1260,45.0
1261,29.0
1262,21.0
1263,31.0
1264,49.0
1265,44.0
1266,54.0
1267,45.0
1268,22.0
1269,21.0
1270,55.0
1271,5.0
1273,26.0
1275,19.0
1277,24.0
1278,24.0
1279,57.0
1280,21.0
1281,6.0
1282,23.0
1283,51.0
1284,13.0
1285,47.0
1286,29.0
1287,18.0
1288,24.0
1289,48.0
1290,22.0
1291,31.0
1292,30.0
1293,38.0
1294,22.0
1295,17.0
1296,43.0
1297,20.0
1298,23.0
1299,50.0
1301,3.0
1303,37.0
1304,28.0
1306,39.0
1307,38.5
6,31.657382040815193
18,32.66709305690215
20,27.020024052306887
27,26.1253819819238
29,25.164533086888905
30,29.08560858917439
32,38.52125073634038
33,25.16569822697426
37,26.12534410585291
43,26.119332632316553
46,29.084217996286142
47,30.72428834686419
48,25.16569822697426
49,24.25585067804927
56,42.46367349826094
65,39.56755123917395
66,0.9836715101668574
77,29.08560858917439
78,29.084217996286142
83,25.16536004776992
88,29.084217996286142
96,29.084217996286142
102,29.08560858917439
108,29.08669797711797
110,24.14821033441043
122,29.084217996286142
127,31.66376956962678
129,5.858141856510173
141,30.39507054265563
155,29.090868853971507
159,29.078694402615245
160,-0.9032203919867285
167,44.906151864390274
169,42.55002192176925
177,2.118592537169775
181,4.035391276779855
182,29.68232997020702
186,42.33291087258256
187,31.618930417247277
197,31.66376956962678
199,25.16569822697426
202,25.020256234250052
215,30.794178715761255
224,29.08560858917439
230,7.057204205936351
236,22.5906557096915
241,18.69252604929857
242,24.22621700421167
251,29.091432485978743
257,39.997948112327904
261,31.66376956962678
265,25.16569822697426
271,42.50425500278182
275,25.16569822697426
278,32.7843285144069
285,42.54934556336057
296,39.56755123917395
299,42.508764058839695
301,25.16569822697426
302,29.784807124101597
304,28.75172962683078
305,29.084217996286142
307,32.319511147695344
325,25.020256234250052
331,23.28673578144908
335,41.60359701061761
336,29.08560858917439
348,29.03667341027192
352,42.468182554318815
355,26.1253819819238
359,25.164533086888905
360,25.164533086888905
365,30.72428834686419
368,27.019986176236003
369,25.16569822697426
376,39.10156625098891
385,29.08560858917439
389,31.663957146358786
410,7.057204205936351
411,29.08560858917439
412,31.671811020200394
414,32.7843285144069
416,29.97886006666923
421,26.119332632316553
426,29.091432485978743
429,31.66376956962678
432,29.03667341027192
445,29.083654364278907
452,28.107161005770855
455,29.084217996286142
458,42.341165855284544
460,31.66376956962678
465,29.084217996286142
467,32.7843285144069
469,31.663995022429674
471,29.091432485978743
476,42.31487464835106
482,32.7843285144069
486,7.057204205936351
491,28.107161005770855
496,26.06015127155694
498,29.020640305870103
503,25.166787614917844
508,42.5443856016969
512,29.084217996286142
518,31.515872530928473
523,26.1253819819238
525,26.12534410585291
528,40.78378678782866
532,26.12534410585291
534,30.330929220232356
539,29.026051173139553
548,29.693038978344475
553,31.663055335147213
558,37.76569456237615
561,31.66376956962678
564,29.084217996286142
565,22.586146653633623
569,26.12534410585291
574,25.16569822697426
579,26.085202488074508
585,26.111967540151618
590,29.084217996286142
594,14.126283576163331
597,25.988659471934625
599,26.1253819819238
602,29.08560858917439
603,42.401448524662264
612,29.093236108401893
613,24.22621700421167
614,31.66376956962678
630,31.66392017209911
634,42.78381647837008
640,28.142031339888828
644,28.647328340348928
649,29.08872705234402
651,29.08560858917439
654,25.164983992494694
657,29.08560858917439
668,29.08669797711797
670,42.339925864868626
675,32.7843285144069
681,25.162203708529407
693,28.647328340348928
698,25.165848829446595
710,0.9836715101668574
712,42.5443856016969
719,31.593879200729713
728,25.165810953375708
733,32.7843285144069
739,29.08560858917439
740,29.08560858917439
741,42.513273114897565
761,29.026051173139553
767,48.95178004804141
769,30.646281677062948
774,26.1253819819238
777,31.66376956962678
779,31.663882296028227
784,31.523127179844813
791,31.66376956962678
793,4.035391276779855
794,39.54072235562959
816,42.78381647837008
826,31.67098405931938
827,28.647328340348928
829,31.66376956962678
833,26.12534410585291
838,29.084217996286142
840,39.54970259167445
847,25.020256234250052
850,39.039040072445566
860,26.12534410585291
864,4.035391276779855
869,29.071141733718306
879,29.08560858917439
889,10.538262222374627
902,29.08560858917439
914,43.39273499715622
921,24.25585067804927
925,32.417769250227906
928,22.586146653633623
931,28.647328340348928
933,42.5443856016969
939,31.66376956962678
946,29.677557585275366
950,28.142031339888828
957,33.48959023035924
968,29.084217996286142
975,29.08560858917439
976,35.26460600414372
977,25.19059739195109
980,32.558411640009865
983,29.08669797711797
985,29.084217996286142
994,31.66376956962678
999,31.66376956962678
1000,29.07824349700946
1003,25.16543489810048
1008,26.13248374521495
1013,30.794178715761255
1016,31.66376956962678
1019,23.28673578144908
1024,36.71655224139635
1025,25.262892891349427
1038,42.316114638766976
1040,42.5443856016969
1043,26.119332632316553
1052,25.165848829446595
1055,29.093687014007678
1060,40.46219330955704
1062,29.08872705234402
1065,26.12534410585291
1075,31.66376956962678
1080,4.035391276779855
1083,42.54934556336057
1091,29.978296434662
1092,25.095807858077194
1097,39.58539898486223
1103,29.093236108401893
1108,25.164533086888905
1111,29.084217996286142
1117,30.39507054265563
1119,25.16569822697426
1125,31.662604429541425
1135,29.08568343950495
1136,5.599650553608036
1141,26.08523946233418
1147,29.08872705234402
1148,31.66376956962678
1157,29.08560858917439
1158,42.78381647837008
1159,29.08872705234402
1160,22.586146653633623
1163,31.66376956962678
1165,24.22621700421167
1166,26.1253819819238
1174,25.16569822697426
1178,29.091432485978743
1180,26.12534410585291
1181,29.084217996286142
1182,42.426699238586366
1184,26.12534410585291
1189,24.25585067804927
1193,29.682367846277906
1196,25.16569822697426
1204,29.088501599541125
1224,26.1253819819238
1231,0.2018674796161264
1234,43.17321858533236
1236,3.9566731750406205
1249,29.08575828983551
1250,31.66376956962678
1257,44.06786065571545
1258,25.190560417691415
1272,31.66376956962678
1274,29.920693243522646
1276,32.66822032091662
1300,25.165961555848043
1302,25.16569822697426
1305,29.084217996286142
1308,29.084217996286142
1309,0.9195301877435824
